peptide,1,2,3,4,5
CPRP,2288.25,1144.63,763.42,572.82,458.46
CPRP,2298.23,1149.62,766.75,575.31,460.45
CPRP,2299.22,1150.11,767.08,575.56,460.65
CPRP,2316.25,1158.63,772.75,579.82,464.06
CPRP,2368.28,1184.64,790.1,592.83,474.46
CPRP,2385.3,1193.16,795.77,597.08,477.87
CPRP,2395.29,1198.15,799.1,599.58,479.86
CPRP,2396.27,1198.64,799.43,599.82,480.06
CPRP,2413.3,1207.15,805.1,604.08,483.47
CPRP,2481.36,1241.18,827.79,621.1,497.08
CPRP,2498.39,1249.7,833.47,625.35,500.48
CPRP,2508.37,1254.69,836.8,627.85,502.48
CPRP,2509.36,1255.18,837.12,628.09,502.68
CPRP,2526.38,1263.69,842.8,632.35,506.08
CPRP,2637.46,1319.23,879.83,660.12,528.3
CPRP,2654.49,1327.75,885.5,664.38,531.7
CPRP,2664.47,1332.74,888.83,666.87,533.7
CPRP,2665.46,1333.23,889.16,667.12,533.9
CPRP,2682.48,1341.75,894.83,671.38,537.3
CPRP,2694.48,1347.75,898.83,674.38,539.7
CPRP,2711.51,1356.26,904.51,678.63,543.11
CPRP,2721.49,1361.25,907.84,681.13,545.11
CPRP,2722.48,1361.74,908.16,681.38,545.3
CPRP,2739.5,1370.26,913.84,685.63,548.71
CPRP,2841.55,1421.28,947.86,711.14,569.12
CPRP,2858.58,1429.79,953.53,715.4,572.52
CPRP,2868.56,1434.79,956.86,717.9,574.52
CPRP,2869.55,1435.28,957.19,718.14,574.72
CPRP,2886.57,1443.79,962.86,722.4,578.12
CPRP,2970.59,1485.8,990.87,743.4,594.93
CPRP,2987.62,1494.31,996.55,747.66,598.33
CPRP,2997.61,1499.31,999.87,750.16,600.33
CPRP,2998.59,1499.8,1000.2,750.4,600.52
CPRP,3009.55,1505.28,1003.85,753.14,602.72
CPRP,3010.53,1505.77,1004.18,753.39,602.91
CPRP,3015.62,1508.31,1005.88,754.66,603.93
CPRP,3027.56,1514.28,1009.86,757.65,606.32
CPRP,3027.62,1514.31,1009.88,757.66,606.33
CPRP,3044.64,1522.83,1015.55,761.92,609.73
CPRP,3054.63,1527.82,1018.88,764.41,611.73
CPRP,3055.61,1528.31,1019.21,764.66,611.93
CPRP,3072.64,1536.82,1024.88,768.92,615.33
CPRP,3156.66,1578.83,1052.89,789.92,632.14
CPRP,3165.65,1583.33,1055.89,792.17,633.94
CPRP,3166.63,1583.82,1056.22,792.41,634.13
CPRP,3173.68,1587.35,1058.57,794.18,635.54
CPRP,3183.66,1592.33,1061.89,796.67,637.54
CPRP,3183.67,1592.34,1061.89,796.67,637.54
CPRP,3184.65,1592.83,1062.22,796.92,637.74
CPRP,3201.68,1601.34,1067.9,801.18,641.14
CPRP,3222.67,1611.84,1074.89,806.42,645.34
CPRP,3223.65,1612.33,1075.22,806.67,645.54
CPRP,3240.68,1620.84,1080.9,810.93,648.94
CPRP,3257.71,1629.36,1086.57,815.18,652.35
CPRP,3274.73,1637.87,1092.25,819.44,655.75
CPRP,3284.72,1642.86,1095.58,821.94,657.75
CPRP,3285.7,1643.35,1095.91,822.18,657.95
CPRP,3302.73,1651.87,1101.58,826.44,661.35
CPRP,3314.73,1657.87,1105.58,829.44,663.75
CPRP,3331.75,1666.38,1111.26,833.69,667.16
CPRP,3335.75,1668.38,1112.59,834.69,667.96
CPRP,3336.74,1668.87,1112.92,834.94,668.15
CPRP,3341.74,1671.37,1114.58,836.19,669.15
CPRP,3342.72,1671.87,1114.91,836.44,669.35
CPRP,3353.76,1677.39,1118.59,839.2,671.56
CPRP,3359.75,1680.38,1120.59,840.69,672.76
CPRP,3392.77,1696.89,1131.6,848.95,679.36
CPRP,3393.76,1697.38,1131.92,849.2,679.56
CPRP,3410.78,1705.9,1137.6,853.45,682.96
CPRP,3451.79,1726.4,1151.27,863.7,691.16
CPRP,3468.81,1734.91,1156.94,867.96,694.57
CPRP,3478.8,1739.9,1160.27,870.46,696.57
CPRP,3479.78,1740.39,1160.6,870.7,696.76
CPRP,3496.81,1748.91,1166.27,874.96,700.17
CPRP,3521.82,1761.41,1174.61,881.21,705.17
CPRP,3522.8,1761.9,1174.94,881.46,705.37
CPRP,3539.83,1770.42,1180.61,885.71,708.77
CPRP,3548.84,1774.92,1183.62,887.97,710.57
CPRP,3565.87,1783.44,1189.29,892.22,713.98
CPRP,3575.85,1788.43,1192.62,894.72,715.98
CPRP,3576.83,1788.92,1192.95,894.96,716.17
CPRP,3592.85,1796.93,1198.29,898.97,719.38
CPRP,3593.84,1797.42,1198.62,899.22,719.57
CPRP,3593.86,1797.43,1198.63,899.22,719.58
CPRP,3610.86,1805.94,1204.29,903.47,722.98
CPRP,3611.87,1806.44,1204.63,903.72,723.18
CPRP,3661.92,1831.47,1221.31,916.24,733.19
CPRP,3678.95,1839.98,1226.99,920.49,736.6
CPRP,3679.89,1840.45,1227.3,920.73,736.78
CPRP,3680.87,1840.94,1227.63,920.97,736.98
CPRP,3688.93,1844.97,1230.32,922.99,738.59
CPRP,3689.92,1845.46,1230.64,923.24,738.79
CPRP,3697.9,1849.45,1233.3,925.23,740.39
CPRP,3706.94,1853.98,1236.32,927.49,742.2
CPRP,3724.96,1862.98,1242.32,931.99,745.8
CPRP,3835.99,1918.5,1279.33,959.75,768
CPRP,3836.97,1918.99,1279.66,960,768.2
CPRP,3854,1927.5,1285.34,964.26,771.61
PO-CHH-reduced,76.04,38.52,26.02,19.77,16.01
SG-CHH-pyro-Q-reduced,84.04,42.53,28.69,21.77,17.62
SG-CHH-pyro-Q-reduced,87.06,44.03,29.69,22.52,18.22
SG-CHH-pyro-Q-reduced,101.07,51.04,34.36,26.02,21.02
SG-CHH-pyro-Q-reduced,117.1,59.06,39.71,30.03,24.23
SG-CHH-pyro-Q-reduced,129.07,65.04,43.69,33.02,26.62
