Species,1,2,3,4,5
SG-CHH-pyro-Q,4410.063,,,,
SG-CHH-pyro-Q,4425.942,,,,
SG-CHH-pyro-Q,4427.0896,,,,
SG-CHH-pyro-Q,4442.9686,,,,
SG-CHH-pyro-Q,4452.9529,,,,
SG-CHH-pyro-Q,4453.9369,,,,
SG-CHH-pyro-Q,4470.9635,,,,
SG-CHH-pyro-Q,4565.1801,,,,
SG-CHH-pyro-Q,4566.1641,,,,
SG-CHH-pyro-Q,4582.0431,,,,
SG-CHH-pyro-Q,4583.1907,,,,
SG-CHH-pyro-Q,4599.0697,,,,
SG-CHH-pyro-Q,4609.054,,,,
SG-CHH-pyro-Q,4610.038,,,,
